"","stat","key_index"
"1",0.008,"prop_select_one @/@ where_members_wash_their_hands ~/~ no_handwashing_facility_available @/@ NA ~/~ NA"
"2",0.0258461538461538,"prop_select_one @/@ where_members_wash_their_hands ~/~ no_permission_to_see_handwashing_facility @/@ NA ~/~ NA"
"3",0.00615384615384615,"prop_select_one @/@ where_members_wash_their_hands ~/~ yes_handwashing_facility_available_with_only_soap @/@ NA ~/~ NA"
"4",0.0326153846153846,"prop_select_one @/@ where_members_wash_their_hands ~/~ yes_handwashing_facility_available_with_only_water @/@ NA ~/~ NA"
"5",0.927384615384577,"prop_select_one @/@ where_members_wash_their_hands ~/~ yes_handwashing_facility_available_with_water_and_soap @/@ NA ~/~ NA"
"6",0.00371090298639336,"prop_select_one @/@ how_waste_managed ~/~ burning @/@ NA ~/~ NA"
"7",0.00335748365435589,"prop_select_one @/@ how_waste_managed ~/~ dont_know @/@ NA ~/~ NA"
"8",0.861106202509191,"prop_select_one @/@ how_waste_managed ~/~ dumpsters_barrels_collected_by_municipality @/@ NA ~/~ NA"
"9",0.100547799964659,"prop_select_one @/@ how_waste_managed ~/~ dumpsters_barrels_collected_by_ngo @/@ NA ~/~ NA"
"10",0.0123696766213112,"prop_select_one @/@ how_waste_managed ~/~ dumpsters_barrels_collected_by_private_collector @/@ NA ~/~ NA"
"11",0.0107792896271426,"prop_select_one @/@ how_waste_managed ~/~ dumpsters_barrels_not_collected @/@ NA ~/~ NA"
"12",0.00106025799611239,"prop_select_one @/@ how_waste_managed ~/~ other @/@ NA ~/~ NA"
"13",0.000353419332037462,"prop_select_one @/@ how_waste_managed ~/~ prefer_not_to_answer @/@ NA ~/~ NA"
"14",0.00159038699416858,"prop_select_one @/@ how_waste_managed ~/~ rubbish_pit_heap @/@ NA ~/~ NA"
"15",0.00459445131648701,"prop_select_one @/@ how_waste_managed ~/~ thrown_in_open_field @/@ NA ~/~ NA"
"16",0.000530128998056194,"prop_select_one @/@ how_waste_managed ~/~ thrown_in_river_sea_or_water_stream @/@ NA ~/~ NA"
"17",0.0242092242445662,"prop_select_one @/@ waste_collected_on_regular_basis ~/~ dont_know @/@ NA ~/~ NA"
"18",0.25022088708253,"prop_select_one @/@ waste_collected_on_regular_basis ~/~ no @/@ NA ~/~ NA"
"19",0.000706838664074925,"prop_select_one @/@ waste_collected_on_regular_basis ~/~ prefer_not_to_answer @/@ NA ~/~ NA"
"20",0.724863050008787,"prop_select_one @/@ waste_collected_on_regular_basis ~/~ yes @/@ NA ~/~ NA"
"21",0.86128291217521,"prop_select_multiple @/@ hh_sort_waste ~/~ no_not_sorting_any_of_the_waste @/@ NA ~/~ NA"
"22",0.0611415444424808,"prop_select_multiple @/@ hh_sort_waste ~/~ yes_organic_waste @/@ NA ~/~ NA"
"23",0.0857041880190852,"prop_select_multiple @/@ hh_sort_waste ~/~ yes_recyclable_waste @/@ NA ~/~ NA"
"24",0.0139600636154798,"prop_select_multiple @/@ hh_sort_waste ~/~ yes_other_types_such_as_diapers_toilet_paper_sanitary_napkins @/@ NA ~/~ NA"
"25",0.0261530305707722,"prop_select_multiple @/@ hh_sort_waste ~/~ dont_know @/@ NA ~/~ NA"
"26",0.000176709666018731,"prop_select_multiple @/@ hh_sort_waste ~/~ prefer_not_to_answer @/@ NA ~/~ NA"
"27",0.601873122459785,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ hh_does_not_have_any_issue @/@ NA ~/~ NA"
"28",0.0611415444424808,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ hh_had_issues_but_did_not_try_to_adapt @/@ NA ~/~ NA"
"29",0.279024562643584,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ rely_on_less_preferred_types_of_nfi @/@ NA ~/~ NA"
"30",0.0160805796077046,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ rely_on_substitutes @/@ NA ~/~ NA"
"31",0.0351652235377275,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ buying_nfi_at_market_place_further_than_the_usual_one @/@ NA ~/~ NA"
"32",0.000353419332037462,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ buying_nfi_at_market_place_in_a_dangerous_place @/@ NA ~/~ NA"
"33",0.0120162572892737,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ borrow_nfi_from_friend_or_relative @/@ NA ~/~ NA"
"34",0.00883548330093657,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ spend_money_on_nfi_that_should_be_used_for_other_purposes @/@ NA ~/~ NA"
"35",0.0314543205513341,"prop_select_multiple @/@ issues_accessing_hygien_items ~/~ reduce_nfi_consumption_for_personal_hygiene @/@ NA ~/~ NA"
